,nombre,categoria,seccion,descripcion,dimensiones,imagen
3733,MYS45,Tocadiscos y altavoces,Cintas de cassette  Musica  Sonido  ,Maletín portacassettes skay negro grande,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS45/MYS45-720x540.png
3734,ML45,Librería,Descatalogado  ,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ML45/LOGOTIPO VAZQUEZ- 720x540.png
3735,MED45,Atrezzo medicina,Hospital  Medicina  ,Horno esterilizador de laboratorio,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED45/MED45-720x540.png
3736,HOS45,Hospitales,Hospital  Medicina  ,Visor de radiografías marco blanco,38x12x50 (cm),https://atrezzovazquez.es/admin/img_prod/HOS45/HOS45-720x540.png
3737,VAA45,Atrezzo vario,,Casco de equitación,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA45/VAA45-720x540.png
3738,RAD45,Radios,Mueble radio  ,Mueble radio gramola claro,70x44x80 (cm),https://atrezzovazquez.es/admin/img_prod/RAD45/RAD45-720x540.png
3739,SI45,Sillón,Americano  Salón  Tresillo  ,Sillón chester tapizado skay corinto,95x76x75 (cm),https://atrezzovazquez.es/admin/img_prod/SI45/SI45-1-720x540.png
3740,MV45,Muebles varios,Taquillón  ,Taquillón chino relieve dragón tapa mármol,100x26x80 (cm),https://atrezzovazquez.es/admin/img_prod/MV45/MV45-1-720x540.png
3741,SIL45,Silla,Comedor  Inglesa  Salón  ,Silla inglesa caoba y oro respaldo tallado,41x39x87 (cm),https://atrezzovazquez.es/admin/img_prod/SIL45/SIL45 720x540.png
3742,S45,Sofá,Americano  Salón  Tresillo  ,Sofá chester 2 plazas tapizado skay corinto,190x95x80 (cm),https://atrezzovazquez.es/admin/img_prod/S45/S45-1-720x540.png
